vm_id,job_id,task_index,start_time,end_time,total_end_time,duration,cpu_max,cpu_min,cpu_avg,cpu_std,cpu_p95,cpi,mai,mem_max,mem_min,mem_avg,mem_assigned,mem_page_cache,mem_canonical,priority,true_cluster,is_ml_set
vm_00949,949,0,2.94,302.94,1947.86,1944.92,0.12119,0.002,0.03612,0.04726,0.10228,1.9323,0.0235,0.01249,0.00449,0.00749,0.01374,0.00251,0.00719,271,3,True
vm_01648,1648,0,5.55,305.55,1971.62,1966.07,0.14024,0.00933,0.05609,0.04675,0.12154,1.8493,0.0151,0.01243,0.00443,0.00743,0.01368,0.00384,0.00713,15,3,True
vm_00197,197,0,0.61,300.61,3010.68,3010.07,0.05568,0.001,0.01694,0.02152,0.04922,1.8251,0.0301,0.04921,0.01421,0.02921,0.05413,0.00909,0.02775,34,1,True
vm_00427,427,0,1.33,301.33,2222.77,2221.44,0.1267,0.002,0.02193,0.0582,0.10342,1.5443,0.045,0.0153,0.0073,0.0103,0.01683,0.00432,0.00989,230,3,True
vm_01763,1763,0,5.97,305.97,10057.24,10051.27,0.0856,0.01597,0.04382,0.02321,0.07863,1.5619,0.0283,0.06282,0.02782,0.04282,0.0691,0.00472,0.04068,162,1,True
vm_00982,982,0,3.07,303.07,577.19,574.12,0.48367,0.10144,0.22885,0.12741,0.4327,0.951,0.0252,0.01677,0.00477,0.00877,0.01761,0.0017,0.0086,125,2,True
vm_01829,1829,0,6.19,306.19,425.72,419.54,0.0414,0.001,0.005,0.02022,0.03533,1.4754,0.0512,0.07447,0.03947,0.05447,0.08192,0.00815,0.05175,109,1,True
vm_02285,2285,0,7.96,307.96,10929.61,10921.65,0.49681,0.1665,0.27661,0.1101,0.45277,0.6354,0.0285,0.01731,0.00531,0.00931,0.01817,0.00192,0.00912,24,2,True
vm_01407,1407,0,4.64,304.64,6526.52,6521.88,0.06493,0.00671,0.03,0.01941,0.05911,2.0193,0.0371,0.07015,0.03515,0.05015,0.07716,0.00334,0.04764,278,1,True
vm_02073,2073,0,7.11,307.11,4008.99,4001.88,0.15979,0.02213,0.0713,0.04917,0.14013,1.6438,0.0366,0.01493,0.00693,0.00993,0.01642,0.00142,0.00953,287,3,True
vm_01643,1643,0,5.53,305.53,10630.31,10624.78,0.08743,0.002,0.01,0.04302,0.07022,1.1783,0.0341,0.01556,0.00756,0.01056,0.01712,0.00301,0.01014,255,3,True
vm_01865,1865,0,6.29,306.29,9896.61,9890.32,0.16674,0.002,0.05113,0.06423,0.14105,1.4493,0.0205,0.01999,0.01199,0.01499,0.02199,0.00196,0.01439,245,3,True
vm_01114,1114,0,3.52,303.52,9718.75,9715.24,0.03088,0.001,0.005,0.01438,0.02657,2.3644,0.0283,0.05523,0.02023,0.03523,0.06075,0.00525,0.03346,182,1,True
vm_01467,1467,0,4.84,304.84,9292.71,9287.87,0.37624,0.03,0.08,0.14812,0.31699,0.6148,0.0292,0.02173,0.00973,0.01373,0.02281,0.00158,0.01345,172,2,True
vm_00669,669,0,2.07,302.07,3431.76,3429.69,0.16205,0.02379,0.07317,0.04938,0.1423,1.99,0.0362,0.01126,0.00326,0.00626,0.01238,0.00591,0.00601,245,3,True
vm_01376,1376,0,4.53,304.53,3648.61,3644.09,0.13944,0.01124,0.05702,0.04579,0.12113,1.7319,0.0489,0.01699,0.00899,0.01199,0.01869,0.00305,0.01151,42,3,True
vm_01086,1086,0,3.44,303.44,12838.86,12835.42,0.05295,0.01918,0.03269,0.01126,0.04957,2.0374,0.0684,0.05287,0.01787,0.03287,0.05815,0.01124,0.03122,70,1,True
vm_01850,1850,0,6.22,306.22,5371.2,5364.98,0.09145,0.002,0.02916,0.03461,0.07761,1.2024,0.0394,0.01418,0.00618,0.00918,0.0156,0.00098,0.00881,241,3,True
vm_01559,1559,0,5.19,305.19,6300.48,6295.29,0.38079,0.03,0.08,0.15039,0.32063,1.3801,0.0069,0.01117,0.0005,0.00317,0.01173,0.00277,0.00311,293,2,True
vm_00633,633,0,1.97,301.97,9121.37,9119.4,0.527,0.19548,0.30599,0.11051,0.4828,0.7852,0.0198,0.01097,0.0005,0.00297,0.01152,0.00346,0.00292,12,2,True
vm_00614,614,0,1.93,301.93,14305.56,14303.64,0.12313,0.002,0.0392,0.04663,0.10448,1.35,0.0351,0.01409,0.00609,0.00909,0.01549,0.00346,0.00872,265,3,True
vm_01573,1573,0,5.25,305.25,786.45,781.2,0.14768,0.002,0.0511,0.05366,0.12622,1.2351,0.049,0.01403,0.00603,0.00903,0.01544,0.00207,0.00867,268,3,True
vm_01884,1884,0,6.36,306.36,9737.92,9731.56,0.17235,0.02877,0.08005,0.05128,0.15184,1.1534,0.0107,0.01577,0.00777,0.01077,0.01735,0.00384,0.01034,262,3,True
vm_00486,486,0,1.52,301.52,7701.74,7700.23,0.096,0.0145,0.0471,0.02717,0.08785,2.4398,0.0396,0.05715,0.02215,0.03715,0.06287,0.00765,0.0353,159,1,True
vm_01041,1041,0,3.28,303.28,3802.9,3799.62,0.08113,0.03193,0.05161,0.0164,0.07621,1.9912,0.0748,0.05286,0.01786,0.03286,0.05815,0.0045,0.03122,60,1,True
vm_00030,30,0,0.11,300.11,849.92,849.81,0.1677,0.00702,0.06441,0.05738,0.14474,1.415,0.0282,0.01278,0.00478,0.00778,0.01406,0.00512,0.00747,292,3,True
vm_00369,369,0,1.16,301.16,819.86,818.7,0.07839,0.01077,0.03781,0.02254,0.07163,1.8862,0.0359,0.06806,0.03306,0.04806,0.07486,0.01088,0.04565,80,1,True
vm_01862,1862,0,6.28,306.28,6227.24,6220.96,0.0383,0.001,0.005,0.0185,0.03275,2.327,0.0409,0.0624,0.0274,0.0424,0.06864,0.00518,0.04028,158,1,True
vm_01092,1092,0,3.46,303.46,5860.13,5856.67,0.19899,0.07552,0.11961,0.0441,0.18135,1.5137,0.048,0.01665,0.00865,0.01165,0.01832,0.00589,0.01119,225,3,True
vm_02212,2212,0,7.65,307.65,5426.84,5419.19,0.06766,0.002,0.01,0.03203,0.05484,1.6435,0.0124,0.01222,0.00422,0.00722,0.01344,0.00562,0.00693,246,3,True
vm_02262,2262,0,7.87,307.87,405.29,397.42,0.03545,0.001,0.005,0.01692,0.03038,1.4236,0.0649,0.06707,0.03207,0.04707,0.07378,0.00989,0.04472,170,1,True
vm_00101,101,0,0.32,300.32,4147.96,4147.63,0.0622,0.001,0.02397,0.02124,0.05583,2.0303,0.0474,0.053,0.018,0.033,0.0583,0.00193,0.03135,73,1,True
vm_02156,2156,0,7.41,307.41,5910.26,5902.85,0.10013,0.03093,0.05861,0.02307,0.09321,1.2568,0.0296,0.05334,0.01834,0.03334,0.05867,0.0081,0.03167,12,1,True
vm_00322,322,0,1.01,301.01,620.35,619.34,0.06372,0.02192,0.03864,0.01393,0.05954,2.2373,0.0612,0.07696,0.04196,0.05696,0.08466,0.0148,0.05412,188,1,True
vm_01316,1316,0,4.28,304.28,888.23,883.95,0.11093,0.002,0.02688,0.04669,0.09225,1.3156,0.0459,0.01589,0.00789,0.01089,0.01748,0.00498,0.01045,63,3,True
vm_02090,2090,0,7.17,307.17,14039.62,14032.45,0.45213,0.03,0.08,0.18606,0.3777,1.101,0.0143,0.01791,0.00591,0.00991,0.01881,0.00348,0.00971,236,2,True
vm_02208,2208,0,7.62,307.62,841.15,833.53,0.52991,0.16974,0.2898,0.12006,0.48189,1.1731,0.018,0.0215,0.0095,0.0135,0.02257,0.00305,0.01323,87,2,True
vm_02047,2047,0,7.01,307.01,652.39,645.38,0.12855,0.01198,0.05361,0.04163,0.1119,1.0676,0.0344,0.00997,0.00197,0.00497,0.01096,0.00395,0.00477,38,3,True
vm_00765,765,0,2.35,302.35,5991.57,5989.22,0.39971,0.08243,0.18819,0.10576,0.35741,0.7102,0.0145,0.02244,0.01044,0.01444,0.02357,0.00488,0.01416,125,2,True
vm_01428,1428,0,4.73,304.73,14087.13,14082.4,0.31135,0.03,0.11579,0.09778,0.27223,1.2822,0.01,0.0136,0.0016,0.0056,0.01428,0.00364,0.00548,151,2,True
vm_00986,986,0,3.09,303.09,439.21,436.11,0.17084,0.03133,0.08115,0.04983,0.15091,1.9139,0.0446,0.01412,0.00612,0.00912,0.01553,0.00356,0.00876,274,3,True
vm_01190,1190,0,3.78,303.78,3773.31,3769.54,0.15498,0.02263,0.0699,0.04727,0.13608,1.3824,0.0169,0.01671,0.00871,0.01171,0.01838,0.00487,0.01124,66,3,True
vm_00708,708,0,2.2,302.2,885.43,883.23,0.02913,0.001,0.00739,0.01208,0.02551,1.8828,0.0239,0.05174,0.01674,0.03174,0.05692,0.01291,0.03016,289,1,True
vm_01235,1235,0,3.95,303.95,10523.89,10519.94,0.08406,0.03018,0.05173,0.01796,0.07867,2.0332,0.0428,0.06825,0.03325,0.04825,0.07508,0.00588,0.04584,139,1,True
vm_00673,673,0,2.09,302.09,4234.32,4232.24,0.06578,0.01785,0.03702,0.01598,0.06099,1.5336,0.0395,0.07625,0.04125,0.05625,0.08387,0.01355,0.05343,274,1,True
vm_00423,423,0,1.33,301.33,529.08,527.75,0.40095,0.08067,0.18743,0.10676,0.35824,1.1336,0.0232,0.01402,0.00202,0.00602,0.01472,0.00426,0.0059,104,2,True
vm_01118,1118,0,3.53,303.53,5012.39,5008.86,0.09603,0.002,0.01497,0.04503,0.07802,1.4815,0.0264,0.01007,0.00207,0.00507,0.01108,0.00355,0.00487,217,3,True
vm_01234,1234,0,3.95,303.95,408.56,404.61,0.05557,0.00247,0.02371,0.0177,0.05026,2.4732,0.0393,0.06441,0.02941,0.04441,0.07085,0.01386,0.04219,33,1,True
vm_01006,1006,0,3.16,303.16,11598.31,11595.15,0.08348,0.002,0.01435,0.0384,0.06812,1.045,0.0163,0.01376,0.00576,0.00876,0.01513,0.00587,0.00841,17,3,True
vm_00248,248,0,0.75,300.75,14240.46,14239.72,0.10492,0.03357,0.06211,0.02379,0.09779,1.5721,0.0344,0.0619,0.0269,0.0419,0.06809,0.00823,0.03981,114,1,True
vm_02100,2100,0,7.21,307.21,7946.57,7939.36,0.04376,0.001,0.01387,0.01661,0.03878,2.4429,0.0677,0.05611,0.02111,0.03611,0.06172,0.01241,0.0343,191,1,True
vm_01279,1279,0,4.15,304.15,446.84,442.69,0.05027,0.001,0.005,0.02515,0.04273,2.4029,0.0678,0.05393,0.01893,0.03393,0.05932,0.01338,0.03223,268,1,True
vm_00964,964,0,2.99,302.99,736.51,733.51,0.13303,0.04245,0.07868,0.03019,0.12397,2.4066,0.0707,0.04983,0.01483,0.02983,0.05481,0.00197,0.02834,163,1,True
vm_01615,1615,0,5.4,305.4,12867.33,12861.93,0.06035,0.001,0.0208,0.02197,0.05376,1.8098,0.0544,0.06428,0.02928,0.04428,0.07071,0.00111,0.04207,20,1,True
vm_00612,612,0,1.93,301.93,2649.25,2647.33,0.18227,0.05135,0.09811,0.04676,0.16357,1.2182,0.0345,0.0111,0.0031,0.0061,0.0122,0.00192,0.00585,77,3,True
vm_00480,480,0,1.5,301.5,7795.95,7794.45,0.09039,0.04725,0.0645,0.01438,0.08607,2.0832,0.0776,0.0506,0.0156,0.0306,0.05566,0.00913,0.02907,205,1,True
vm_01412,1412,0,4.66,304.66,633.21,628.55,0.26554,0.07467,0.14284,0.06817,0.23828,1.5721,0.0381,0.00951,0.00151,0.00451,0.01046,0.00123,0.00433,136,3,True
vm_00230,230,0,0.68,300.68,4307.2,4306.52,0.10099,0.002,0.01,0.05055,0.08077,1.9033,0.0189,0.01261,0.00461,0.00761,0.01387,0.00111,0.0073,8,3,True
vm_01527,1527,0,5.07,305.07,11652.59,11647.52,0.04917,0.001,0.00896,0.02234,0.04247,1.9827,0.0799,0.0717,0.0367,0.0517,0.07887,0.0081,0.04911,73,1,True
vm_00483,483,0,1.51,301.51,420.73,419.22,0.13123,0.03201,0.06745,0.03544,0.11706,1.5324,0.0481,0.01728,0.00928,0.01228,0.01901,0.00538,0.01179,277,3,True
vm_01038,1038,0,3.27,303.27,4162.91,4159.64,0.08754,0.03084,0.05352,0.0189,0.08187,1.5845,0.0575,0.03859,0.005,0.01859,0.04245,0.00459,0.01766,179,1,True
vm_00887,887,0,2.74,302.74,2442.22,2439.48,0.68224,0.21853,0.3731,0.15457,0.62041,0.922,0.0231,0.01647,0.00447,0.00847,0.01729,0.00422,0.0083,136,2,True
vm_02263,2263,0,7.87,307.87,10085.98,10078.11,0.08051,0.02964,0.04999,0.01696,0.07542,2.081,0.0363,0.06072,0.02572,0.04072,0.06679,0.01459,0.03869,195,1,True
vm_00696,696,0,2.16,302.16,5774.46,5772.3,0.08632,0.04158,0.05948,0.01491,0.08185,2.4373,0.0355,0.04272,0.00772,0.02272,0.04699,0.0079,0.02158,84,1,True
vm_00446,446,0,1.39,301.39,7952.46,7951.07,0.09574,0.03331,0.05828,0.02081,0.08949,1.6385,0.0498,0.05859,0.02359,0.03859,0.06445,0.00284,0.03666,19,1,True
vm_02005,2005,0,6.85,306.85,5419.71,5412.87,0.41278,0.03,0.12229,0.14525,0.35468,1.264,0.0124,0.01578,0.00378,0.00778,0.01657,0.00253,0.00763,240,2,True
vm_00675,675,0,2.09,302.09,11117.29,11115.2,0.06228,0.00264,0.0265,0.01988,0.05632,2.1161,0.0656,0.04898,0.01398,0.02898,0.05388,0.00145,0.02753,49,1,True
vm_01365,1365,0,4.48,304.48,10484.93,10480.46,0.26334,0.10334,0.16048,0.05714,0.24048,1.0111,0.0367,0.01316,0.00516,0.00816,0.01448,0.00253,0.00784,235,3,True
vm_01725,1725,0,5.81,305.81,11912.25,11906.44,0.13415,0.002,0.04855,0.04755,0.11513,1.0264,0.0453,0.01327,0.00527,0.00827,0.01459,0.00205,0.00794,145,3,True
vm_01750,1750,0,5.91,305.91,12667.1,12661.19,0.1861,0.02984,0.08565,0.05581,0.16378,1.1306,0.038,0.01411,0.00611,0.00911,0.01552,0.00423,0.00874,71,3,True
vm_01509,1509,0,4.98,304.98,600.11,595.14,0.06001,0.001,0.00954,0.02804,0.0516,1.583,0.0492,0.07184,0.03684,0.05184,0.07903,0.00197,0.04925,136,1,True
vm_01666,1666,0,5.59,305.59,586.59,581.0,0.07298,0.00717,0.03349,0.02194,0.0664,2.3693,0.04,0.03825,0.005,0.01825,0.04207,0.0123,0.01733,251,1,True
vm_01221,1221,0,3.91,303.91,10908.44,10904.53,0.1411,0.04252,0.07773,0.03521,0.12702,1.3245,0.0308,0.01102,0.00302,0.00602,0.01212,0.00498,0.00578,89,3,True
vm_01000,1000,0,3.14,303.14,663.66,660.52,0.11925,0.00244,0.04416,0.04172,0.10256,1.2128,0.0365,0.01049,0.00249,0.00549,0.01154,0.004,0.00527,244,3,True
vm_01106,1106,0,3.51,303.51,901.0,897.5,0.09689,0.03904,0.06218,0.01929,0.09111,2.0187,0.0708,0.07711,0.04211,0.05711,0.08483,0.01279,0.05426,171,1,True
vm_01879,1879,0,6.35,306.35,12988.79,12982.44,0.79499,0.36508,0.50839,0.1433,0.73767,1.3398,0.0106,0.01097,0.0005,0.00297,0.01152,0.00105,0.00291,28,2,True
vm_01656,1656,0,5.57,305.57,9211.82,9206.25,0.17933,0.06446,0.10549,0.04102,0.16292,1.2104,0.0397,0.01773,0.00973,0.01273,0.01951,0.00388,0.01222,133,3,True
vm_01737,1737,0,5.85,305.85,565.51,559.66,0.02467,0.001,0.005,0.01093,0.02139,2.3313,0.0762,0.05771,0.02271,0.03771,0.06348,0.00438,0.03582,250,1,True
vm_00057,57,0,0.2,300.2,579.97,579.78,0.41909,0.05899,0.17902,0.12004,0.37108,0.6809,0.0198,0.01522,0.00322,0.00722,0.01598,0.00284,0.00707,114,2,True
vm_00523,523,0,1.63,301.63,770.25,768.62,0.3473,0.05445,0.15207,0.09762,0.30826,1.3993,0.0288,0.01674,0.00474,0.00874,0.01758,0.00373,0.00857,192,2,True
vm_02052,2052,0,7.02,307.02,789.28,782.26,0.05314,0.001,0.0195,0.01869,0.04753,1.236,0.0441,0.03457,0.005,0.01457,0.03803,0.00334,0.01385,199,1,True
vm_01743,1743,0,5.88,305.88,590.99,585.11,0.09104,0.01834,0.04742,0.02423,0.08377,1.5751,0.0752,0.05285,0.01785,0.03285,0.05813,0.00281,0.03121,299,1,True
vm_01787,1787,0,6.06,306.06,10979.43,10973.37,0.16063,0.02648,0.07439,0.04791,0.14147,1.4666,0.0492,0.01222,0.00422,0.00722,0.01344,0.00596,0.00693,219,3,True
vm_00932,932,0,2.88,302.88,6360.96,6358.07,0.0379,0.001,0.005,0.01828,0.03241,1.6254,0.0587,0.05133,0.01633,0.03133,0.05647,0.00795,0.02977,106,1,True
vm_01867,1867,0,6.29,306.29,530.45,524.16,0.13532,0.04946,0.08012,0.03067,0.12306,1.2354,0.0256,0.00897,0.00097,0.00397,0.00987,0.0049,0.00382,284,3,True
vm_01996,1996,0,6.81,306.81,740.1,733.28,0.09175,0.002,0.0212,0.0392,0.07607,1.5882,0.0212,0.01229,0.00429,0.00729,0.01352,0.00257,0.00699,215,3,True
vm_00530,530,0,1.65,301.65,5118.03,5116.38,0.13339,0.002,0.04202,0.05076,0.11309,1.2103,0.0412,0.01122,0.00322,0.00622,0.01234,0.00186,0.00597,147,3,True
vm_01042,1042,0,3.29,303.29,583.0,579.71,0.0882,0.002,0.01,0.04345,0.07083,1.8345,0.0321,0.01966,0.01166,0.01466,0.02163,0.00281,0.01408,162,3,True
vm_00135,135,0,0.43,300.43,809.67,809.24,0.31237,0.03,0.08,0.11619,0.2659,1.3704,0.0237,0.02044,0.00844,0.01244,0.02146,0.00053,0.01219,6,2,True
vm_00481,481,0,1.51,301.51,12421.52,12420.01,0.3217,0.03,0.11654,0.10258,0.28067,1.06,0.0189,0.01267,0.00067,0.00467,0.0133,0.00242,0.00457,113,2,True
vm_01293,1293,0,4.18,304.18,600.72,596.54,0.10026,0.002,0.01,0.05014,0.0802,1.9057,0.0405,0.0126,0.0046,0.0076,0.01387,0.00569,0.0073,207,3,True
vm_00743,743,0,2.29,302.29,3261.34,3259.05,0.36673,0.07931,0.17512,0.09581,0.32841,1.2794,0.0286,0.01725,0.00525,0.00925,0.01811,0.00107,0.00906,40,2,True
vm_01881,1881,0,6.35,306.35,9719.89,9713.54,0.15198,0.04445,0.08285,0.03841,0.13662,1.8783,0.0445,0.00906,0.00106,0.00406,0.00996,0.00529,0.00389,190,3,True
vm_01288,1288,0,4.17,304.17,367.66,363.49,0.18144,0.03391,0.0866,0.05269,0.16036,1.202,0.0438,0.01346,0.00546,0.00846,0.0148,0.00241,0.00812,178,3,True
vm_01991,1991,0,6.79,306.79,4262.83,4256.05,0.05835,0.01039,0.02957,0.01599,0.05355,2.3865,0.0439,0.06092,0.02592,0.04092,0.06701,0.01086,0.03887,297,1,True
vm_02103,2103,0,7.22,307.22,859.34,852.12,0.36064,0.03,0.11405,0.12329,0.31132,0.8943,0.0141,0.01309,0.00109,0.00509,0.01375,0.00336,0.00499,69,2,True
vm_00283,283,0,0.88,300.88,8073.02,8072.14,0.07746,0.002,0.01,0.03748,0.06247,1.8384,0.0413,0.01312,0.00512,0.00812,0.01444,0.00586,0.0078,104,3,True
vm_01870,1870,0,6.3,306.3,336.08,329.78,0.14507,0.01129,0.05907,0.04778,0.12596,1.1074,0.0407,0.01681,0.00881,0.01181,0.01849,0.00473,0.01133,180,3,True
vm_01826,1826,0,6.18,306.18,1874.83,1868.65,0.09761,0.01215,0.04633,0.02849,0.08907,1.8871,0.0341,0.05554,0.02054,0.03554,0.06109,0.01077,0.03376,130,1,True
vm_01464,1464,0,4.83,304.83,12763.82,12759.0,0.05411,0.001,0.0196,0.01917,0.04836,1.3445,0.0557,0.0474,0.0124,0.0274,0.05213,0.01437,0.02603,275,1,True
vm_02060,2060,0,7.06,307.06,5111.35,5104.29,0.11835,0.02297,0.05703,0.03406,0.10472,1.8583,0.0103,0.01996,0.01196,0.01496,0.02195,0.00598,0.01436,186,3,True
vm_00097,97,0,0.31,300.31,1818.77,1818.46,0.06395,0.001,0.02187,0.02338,0.05694,1.5614,0.0595,0.06747,0.03247,0.04747,0.07421,0.0125,0.04509,34,1,True
vm_01193,1193,0,3.8,303.8,422.39,418.6,0.04747,0.001,0.005,0.02359,0.04039,2.3014,0.0711,0.06612,0.03112,0.04612,0.07273,0.00909,0.04381,127,1,True
vm_01474,1474,0,4.86,304.86,732.59,727.73,0.15631,0.06942,0.10045,0.03103,0.1439,1.194,0.0338,0.0101,0.0021,0.0051,0.01111,0.00501,0.0049,75,3,True
vm_00212,212,0,0.65,300.65,2918.32,2917.67,0.10385,0.00699,0.04158,0.03459,0.09001,1.4227,0.0495,0.00979,0.00179,0.00479,0.01077,0.00242,0.0046,135,3,True
vm_00403,403,0,1.25,301.25,9299.65,9298.4,0.07537,0.001,0.01553,0.03324,0.0654,1.3251,0.061,0.05777,0.02277,0.03777,0.06355,0.00466,0.03589,298,1,True
vm_00509,509,0,1.59,301.59,10320.56,10318.96,0.08684,0.02428,0.0493,0.02085,0.08058,1.6769,0.0468,0.04966,0.01466,0.02966,0.05462,0.0141,0.02817,281,1,True
vm_00650,650,0,2.0,302.0,874.92,872.92,0.05547,0.001,0.01093,0.02474,0.04805,1.4519,0.0454,0.05351,0.01851,0.03351,0.05886,0.00787,0.03184,207,1,True
vm_01442,1442,0,4.77,304.77,321.79,317.01,0.15003,0.002,0.02612,0.06884,0.12249,1.2477,0.0406,0.00998,0.00198,0.00498,0.01098,0.00273,0.00478,61,3,True
vm_00411,411,0,1.29,301.29,5709.07,5707.78,0.06365,0.001,0.01779,0.02548,0.056,1.8389,0.0612,0.07305,0.03805,0.05305,0.08035,0.01392,0.0504,230,1,True
vm_01756,1756,0,5.94,305.94,4529.0,4523.06,0.49159,0.13196,0.25184,0.11988,0.44364,1.1932,0.0297,0.019,0.007,0.011,0.01995,0.0031,0.01078,271,2,True
vm_00462,462,0,1.43,301.43,734.16,732.73,0.09098,0.002,0.01,0.04499,0.07298,1.0286,0.0116,0.01374,0.00574,0.00874,0.01511,0.00121,0.00839,48,3,True
vm_00433,433,0,1.36,301.36,713.27,711.91,0.06154,0.02612,0.04029,0.01181,0.058,2.4675,0.0279,0.04702,0.01202,0.02702,0.05172,0.00648,0.02567,240,1,True
vm_00424,424,0,1.33,301.33,13318.53,13317.21,0.32168,0.07043,0.15418,0.08375,0.28818,0.5027,0.0228,0.02351,0.01151,0.01551,0.02468,0.00304,0.0152,296,2,True
vm_00409,409,0,1.29,301.29,327.25,325.96,0.46199,0.0818,0.20853,0.12673,0.4113,0.9905,0.0126,0.0184,0.0064,0.0104,0.01932,0.00355,0.01019,200,2,True
vm_00622,622,0,1.95,301.95,6635.85,6633.9,0.13391,0.01256,0.0559,0.04334,0.11658,1.2607,0.0367,0.01351,0.00551,0.00851,0.01486,0.00118,0.00817,224,3,True
vm_01655,1655,0,5.57,305.57,10698.5,10692.93,0.09157,0.002,0.01,0.04532,0.07344,1.6001,0.0301,0.01661,0.00861,0.01161,0.01827,0.00584,0.01114,97,3,True
vm_01810,1810,0,6.14,306.14,11032.94,11026.79,0.12653,0.002,0.03316,0.05187,0.10578,1.1057,0.0146,0.01254,0.00454,0.00754,0.01379,0.00522,0.00724,48,3,True
vm_01395,1395,0,4.56,304.56,4073.05,4068.48,0.53889,0.17876,0.29881,0.12004,0.49088,1.3976,0.0273,0.01765,0.00565,0.00965,0.01853,0.00115,0.00946,19,2,True
vm_00465,465,0,1.44,301.44,792.77,791.33,0.35338,0.03,0.08,0.13669,0.2987,0.7955,0.0079,0.01656,0.00456,0.00856,0.01738,0.0006,0.00839,142,2,True
vm_00180,180,0,0.56,300.56,9543.69,9543.13,0.10835,0.002,0.01,0.05464,0.08649,1.8698,0.0408,0.01737,0.00937,0.01237,0.0191,0.00143,0.01187,270,3,True
vm_02247,2247,0,7.81,307.81,769.47,761.66,0.0448,0.01436,0.02653,0.01015,0.04175,2.2464,0.0699,0.05313,0.01813,0.03313,0.05844,0.01484,0.03147,182,1,True
vm_00472,472,0,1.47,301.47,6954.54,6953.08,0.06396,0.01669,0.0356,0.01576,0.05924,1.3384,0.0778,0.05943,0.02443,0.03943,0.06537,0.01471,0.03746,187,1,True
vm_00788,788,0,2.41,302.41,3472.76,3470.35,0.31258,0.03,0.08,0.11629,0.26606,1.124,0.0182,0.0147,0.0027,0.0067,0.01543,0.00243,0.00656,155,2,True
vm_00995,995,0,3.12,303.12,6619.84,6616.72,0.27379,0.03,0.08,0.0969,0.23503,1.3766,0.0258,0.01769,0.00569,0.00969,0.01857,0.00269,0.00949,207,2,True
vm_01966,1966,0,6.69,306.69,9895.41,9888.72,0.05922,0.00476,0.02654,0.01815,0.05377,2.1763,0.0304,0.05329,0.01829,0.03329,0.05862,0.00283,0.03163,288,1,True
vm_01913,1913,0,6.43,306.43,8051.37,8044.94,0.03564,0.001,0.00539,0.01681,0.0306,1.8384,0.0474,0.05958,0.02458,0.03958,0.06553,0.0119,0.0376,40,1,True
vm_00868,868,0,2.66,302.66,14008.11,14005.46,0.1303,0.002,0.04563,0.04704,0.11148,1.4491,0.0468,0.00989,0.00189,0.00489,0.01088,0.00086,0.0047,266,3,True
vm_01568,1568,0,5.24,305.24,13656.78,13651.54,0.08955,0.04894,0.06518,0.01354,0.08549,2.2632,0.0728,0.0635,0.0285,0.0435,0.06985,0.01085,0.04133,92,1,True
vm_01513,1513,0,5.01,305.01,8118.64,8113.63,0.54098,0.11014,0.25375,0.14361,0.48353,1.3469,0.022,0.01736,0.00536,0.00936,0.01823,0.00255,0.00917,78,2,True
